Summary,url,Title,Post_Details,Bike Type,Brand,Trim/Edition,Model,Year,Mileage,Seller,Capacity,Price
"TVS Ntorq RED 20207,000 kmMEMBERColombo, MotorbikesRs 180,00041 days",https://ikman.lk/en/ad/tvs-ntorq-red-2020-for-sale-colombo-27,TVS Ntorq RED 2020,"Posted on 06 Feb 11:36 am, Piliyandala, Colombo",Scooters,TVS,RED,Ntorq,2020,"7,000 km",Piliyandala Scooty Mart,125 cc,"180,000"
"TVS Ntorq RED 20207,000 kmMEMBERColombo, MotorbikesRs 135,00058 days",https://ikman.lk/en/ad/tvs-ntorq-red-2020-for-sale-colombo-24,TVS Ntorq RED 2020,"Posted on 15 Jan 9:07 am, Piliyandala, Colombo",Scooters,TVS,RED,Ntorq,2020,"7,000 km",Piliyandala Scooty Mart,125 cc,"135,000"
"TVS Ntorq RED 202012,000 kmMEMBERColombo, MotorbikesRs 175,00037 days",https://ikman.lk/en/ad/tvs-ntorq-red-2020-for-sale-colombo-28,TVS Ntorq RED 2020,"Posted on 23 Feb 8:48 am, Piliyandala, Colombo",Scooters,TVS,RED,Ntorq,2020,"12,000 km",Piliyandala Scooty Mart - Suzuki Dealer,125 cc,"175,000"
"TVS Ntorq RED 20207,000 kmMEMBERColombo, MotorbikesRs 180,00043 days",https://ikman.lk/en/ad/tvs-ntorq-red-2020-for-sale-colombo-26,TVS Ntorq RED 2020,"Posted on 23 Feb 8:48 am, Piliyandala, Colombo",Scooters,TVS,RED,Ntorq,2020,"7,000 km",Piliyandala Scooty Mart - Suzuki Dealer,125 cc,"180,000"
"TVS Ntorq Red Matt 202019,500 kmMEMBERColombo, MotorbikesRs 127,00041 days",https://ikman.lk/en/ad/tvs-ntorq-red-matt-2020-for-sale-colombo,TVS Ntorq Red Matt 2020,"Posted on 31 Jan 4:40 pm, Moratuwa, Colombo",Scooters,TVS,Red Matt,Ntorq,2020,"19,500 km",Deen Motors Panadura,125 cc,"127,000"
"TVS Ntorq Sport 201813,768 kmColombo, MotorbikesRs 490,00036 days",https://ikman.lk/en/ad/tvs-ntorq-sport-2018-for-sale-colombo,TVS Ntorq Sport 2018,"Posted on 06 Feb 9:40 am, Moratuwa, Colombo",Scooters,TVS,Sport,Ntorq,2018,"13,768 km",Saman Fernando,125 cc,"490,000"
"TVS Ntorq Sport Mode 201957,000 kmColombo, MotorbikesRs 435,00030 days",https://ikman.lk/en/ad/tvs-ntorq-sport-mode-2019-for-sale-colombo,TVS Ntorq Sport Mode 2019,"Posted on 12 Feb 4:01 pm, Rajagiriya, Colombo",Scooters,TVS,Sport Mode,Ntorq,2019,"57,000 km",DAYAN,125 cc,"435,000"
"TVS Ntorq STD 201842,560 kmPuttalam, MotorbikesRs 575,00057 days",https://ikman.lk/en/ad/tvs-ntorq-std-2018-for-sale-puttalam,TVS Ntorq STD 2018,"Posted on 16 Jan 4:36 am, Chilaw, Puttalam",Scooters,TVS,STD,Ntorq,2018,"42,560 km",Nisal,125 cc,"575,000"
"TVS Ntorq Trim Edition 201918,000 kmColombo, MotorbikesRs 525,00028 days",https://ikman.lk/en/ad/tvs-ntorq-trim-edition-2019-for-sale-colombo,TVS Ntorq Trim Edition 2019,"Posted on 14 Feb 1:26 am, Colombo 10, Colombo",Scooters,TVS,Trim Edition,Ntorq,2019,"18,000 km",Mohammed Azath,125 cc,"525,000"
"TVS Ntorq used 201933,600 kmMEMBERKalutara, MotorbikesRs 420,00023 days",https://ikman.lk/en/ad/tvs-ntorq-used-2019-for-sale-kalutara-1,TVS Ntorq used 2019,"Posted on 19 Feb 8:41 am, Bandaragama, Kalutara",Scooters,TVS,used,Ntorq,2019,"33,600 km",Welegedara Motors,110 cc,"420,000"
